t_s,wb_queue_size,wb_flushes,wb_flushed_rows
0.02,0,0,0
1.20,71,1,35
2.45,25,3,194
3.62,39,4,280
4.90,59,5,375
6.04,78,6,490
7.11,82,7,605
8.13,91,8,708
9.59,27,10,929
11.13,119,11,1060
12.20,124,12,1224
13.39,155,13,1380
14.71,41,15,1703
15.81,63,16,1843
16.91,64,17,1993
17.96,68,18,2136
19.16,95,19,2276
20.23,112,20,2420
21.33,127,21,2589
22.37,127,22,2748
23.54,145,23,2906
24.57,156,24,3070
25.76,2,26,3351
26.86,12,27,3440
28.14,45,28,3534
29.19,39,29,3623
30.40,103,30,3706
31.60,129,31,3864
32.64,141,32,4021
34.20,24,34,4239
36.17,23,36,4363
37.24,22,37,4421
38.27,66,38,4475
39.35,80,39,4609
40.46,96,40,4757
41.53,95,41,4907
42.61,106,42,5040
43.68,123,43,5184
44.73,119,44,5349
45.79,116,45,5502
47.10,19,47,5786
48.13,21,48,5937
49.50,48,49,6062
50.75,92,50,6180
51.85,121,51,6309
53.01,125,52,6455
54.18,140,53,6600
55.27,23,55,6889
56.31,28,56,7037
57.74,80,57,7176
58.91,112,58,7317
60.07,119,59,7463
61.07,0,60,7586
62.08,0,60,7586
63.09,0,60,7586
64.09,0,60,7586
65.10,0,60,7586
66.10,0,60,7586
67.10,0,60,7586
68.11,0,60,7586
69.11,0,60,7586
